Name,Address,Nationality Final
Barbour John H Main Westchester,,French
Barion E ,16 West,French
Baudino Emilie ,"749, 1st av",French
Bernard Gustave ,161 Lex av,French
Blanc Andre ,1877 Amsterdam av,French
Blau & Chasis ,275 E Houston,French
Bossert Frederick ,293 Spring,French
+ Bossert William A ,419 Hudson,French
Bott Caspar ,51 Gwich & 8 Trinity pl,French
Bousquet Alexis ,105 W 29th,French
Brandamour John ,15 E Houston,French
Buechler Louis ,80 E 4th,French
Casteran Blaise & Brother ,88 University pl,French
Chatain John ,158 W 36th,French
Cherones George ,34 Madison,French
Cormier Joseph E ,324 West,French
Corpeul Max ,117 Bleecker,French
Courser Daniel C ,119 5th av & 1 E 19th,French
Courser Daniel C ,119 5th av & 1 E 19th,French
Cuno Emil ,226 William,French
Delaurier Napoleon B ,29 Duane,French
Demorest William H ,391 1/2 West,French
Facompre Frederick ,584 Grand,French
Flouret Leon ,"128, 5th av",French
Forshay & Gilbert ,102 University pl,French
Gallat Armand ,"3291, 3d av",French
Gombossy Lena ,"105, 2d av & 112, 3d av",French
Gombossy Lena ,"105, 2d av & 112, 3d av",French
Guerin Michael ,102 Vesey,French
Guttin Jean B ,109 W 25th,French
Harbonier William ,210 Gwich,French
Harcombe James ,64 Liberty,French
Hugo Joseph ,475 W Bway,French
Jacquin Charles ,57 W 26th,French
Lorties Emile ,105 W 28th,French
Marchand Auguste ,147 Duane,French
Metivier Ernestine ,"628, 6th av",French
Mouquin Restaurant & Wine Co (Ltd) ,"149 Fulton, 20 Ann & 438 & 456, 6th av",French
Mouquin Restaurant & Wine Co (Ltd) ,"149 Fulton, 20 Ann & 438 & 456, 6th av",French
Mouquin Restaurant & Wine Co (Ltd) ,"149 Fulton, 20 Ann & 438 & 456, 6th av",French
Mouquin Restaurant & Wine Co (Ltd) ,"149 Fulton, 20 Ann & 438 & 456, 6th av",French
Petit Vefour ,55 W 28th,French
Pontin William S ,46 Franklin,French
Queren Frederick ,48 Broad,French
Rabineau Mary ,103 Amsterdam av,French
Reuille Simon ,"376, 8th av",French
Rombout Cornelius ,"1343, 3d av",French
Roulet H & Co ,81 Nassau,French
St Clair Mary ,70 Oliver,French
Talli Louise ,83 Mulberry,French
Theil Leon ,292 E Houston,French
Theodore Abraham ,163 Wooster,French
Thuillard Henri ,112 W 21st,French
Vallet Emil ,20 W 18th,French
Valentin Emile ,257 Hudson,French
Valette Louis ,154 Wooster,French
Veux August ,28 & 35 Walker,French
Veux August ,28 & 35 Walker,French
