Name,Address,Nationality Final
Abeles Aaron ,113 Eldridge,Jewish
Abrahams Anna ,292 Cherry,Jewish
Abramowitz Louis ,155 Allen,Jewish
+ Abrams William ,"130, 7th",Jewish
Abramson Dora ,18 Bleecker,Jewish
Abromowitch Joseph ,"2924, 8th av",Jewish
Alperstein S ,215 Rivington,Jewish
Altman Benjamin ,322 Canal,Jewish
Astrof Frances ,176 Clinton,Jewish
Berkowitz William ,1760. 3d av,Jewish
Bernstein & Segal ,103 Forsyth,Jewish
Berrums Henry S ,51 E 9th,Jewish
Cohen Aaron ,49 E Houston,Jewish
Cohen Abraham ,49 Bayard,Jewish
Cohen Abraham ,235 Broome,Jewish
Cohen Benjamin ,176 Chrystie,Jewish
Eberson Isaac ,13 Clinton,Jewish
Edelstein Samuel ,50 E 9th,Jewish
Feldmann & Bile ,"1529, 2d av",Jewish
Finkenstein Julius ,152 W 23d,Jewish
Galilee Mission ,338 E 23d,Jewish
Glattstein Joseph H ,171 Mercer,Jewish
Gold Joseph ,204 Delancey,Jewish
Goldberg Anne ,166 Allen,Jewish
Goldberg Davis ,165 Allen,Jewish
Goldberg Louis ,118 Spring,Jewish
Goldberg Samuel ,230 Chrystie,Jewish
Goldman Samuel ,36 Llspenard,Jewish
Goldmann Abraham ,237 Mercer,Jewish
Goldmann M ,168 Wooster,Jewish
Goldstein John ,36 Peck sl,Jewish
Goldstein Leopold ,140 Forysth,Jewish
Goldstein Louis ,31 Clinton pl,Jewish
Goldstone Frances ,63 Walker,Jewish
Greenbaum Ludwig ,55 W Houston,Jewish
Greenbaum Moritz ,354 E Houston,Jewish
Greenberg Henry ,132 Bleecker,Jewish
Greenberg Henry ,111 Eldridge,Jewish
Greenberg Sarah ,178 Chrystie,Jewish
Greenstein Henry ,249 Mercer,Jewish
Guini W & Greenberg ,3 Wooster,Jewish
Helper Joseph ,69 Clinton,Jewish
Herskowitz Jos H ,364 E Houston,Jewish
Hyman Abraham ,121 W 19th,Jewish
+Isaacs L ,1526 Madison av,Jewish
Jacobs John W ,"665, 11th av",Jewish
Jacobs Matilda ,199 Forsyth,Jewish
Jacobs Max ,"1919, 3d av",Jewish
Jacobs Minnie ,2 E Houston,Jewish
Jacobs & Gluck ,138 Crosby,Jewish
Jacoby Martin ,"1395, 2d av",Jewish
Jaffee Frank S ,"202, 5th av",Jewish
Kaplan Jacob L ,10 Beach,Jewish
Kaplan Louis & Brother ,329 Broome,Jewish
Katz Berthold ,286 E Houston,Jewish
Kimpel John ,"805, 3d av",Jewish
Kohn & Weiss ,"126, 2d av",Jewish
Kolb Richard ,164 Pearl,Jewish
Kolb Valentine ,28 E 18th,Jewish
Kolbe John ,273 W Bway,Jewish
Levenstein & Co ,13 Delancey,Jewish
Levy William ,182 Chrystie,Jewish
Markowitz Ansel ,67 Eldridge,Jewish
Parness Lena ,164 Allen,Jewish
Peltchiger & Cohen,158 Allen,Jewish
Rubin Ida ,96 Orchard,Jewish
Rubin Jacob ,10 Ann & 206 Bowery,Jewish
Rubin Jacob ,10 Ann & 206 Bowery,Jewish
Rubin & Liebman ,14 Ann,Jewish
Rubinson Reuben ,76 Cliff,Jewish
Satz Anna ,66 Pitt,Jewish
Segal & Sissman ,178 Canal,Jewish
Shapiro Louis ,26 Orchard,Jewish
Shindler Samuel ,95 Clinton,Jewish
Silverberg Isidor ,153 Orchard,Jewish
Silverstein Isaac ,97 Park row,Jewish
Sukovsky Frank ,187 Lewis,Jewish
Tallowitz Frank ,"117, 1st av",Jewish
Tivnan & Somers ,"42 E 42d, 147 W 42d, 1325 Bway & 6 Columbus av",Jewish
Tivnan & Somers ,"42 E 42d, 147 W 42d, 1325 Bway & 6 Columbus av",Jewish
Tivnan & Somers ,"42 E 42d, 147 W 42d, 1325 Bway & 6 Columbus av",Jewish
Tivnan & Somers ,"42 E 42d, 147 W 42d, 1325 Bway & 6 Columbus av",Jewish
