Name,Address,NATIONALITY final
Adamoil Brothers ,74 Macdougal,French
Amot Alfonse ,234 W27th,French
Argeres Peter ,"86, 6th av",French
Arverne Lunch Inc ,125 Mhtn,French
Babell's Restaurant ,3793 Bway,French
Barkin Louis ,76 Essex,French
Bekalor Isidor ,87 E4th,French
Belcher Walter ,79 Maiden la,French
Bogaty’s Dairy Restaurant ,102 Av A,French
Boudeau Co ,"733, 9th av",French
Bourree Christian ,"345, 7th av",French
Bove Andrea ,71 Macdougal,French
Brinin Louis ,97 E Bway,French
Bustanoby Andre & Jacques ,110 W39th,French
Cafe Boulevard ,"156, 2d av",French
Cafe Des Beaux Arts Co ,80 W40th,French
Cafe Savarin Co ,2 Albany,French
Calama Augustus ,"985, 8th av",French
Calama Samuel ,"977, 8th av",French
Calama Saranda G ,365 W42d,French
Calorig Catharine ,724 Washn,French
Campus Jacob J ,64 Delancey,French
Canton Louis S ,"197, 6th av",French
Carmen Sylva Restaurant ,62 Rivington,French
Carmine Filippa ,322 W34th,French
Chevalier Jaques ,"528, 7th av",French
Cochard Marie ,319 W55th,French
"Commercial Tea House ""Paris"" ",118 Forsyth,French
Courtier Emile ,58 W57th,French
Dalmas Theodore ,"2214, 5th av",French
Duval Benjamin ,"425, 9th av",French
Feat Philip ,87 E4th,French
Fidel Max ,"169, 2d",French
Freese Theodore B ,724 8th av,French
Genesee Lunch Co ,"474, 873 & 989 Columbus av",French
Genesee Lunch Co ,"474, 873 & 989 Columbus av",French
Genesee Lunch Co ,"474, 873 & 989 Columbus av",French
Girard Emile ,92 William,French
Gordon Beatrice ,336. 6th,French
Gregoire Arthur Co ,5 E45th,French
Grote Herman G ,349 Hudson,French
Habulin Louis ,471 Lenox av,French
Helephant Hyman ,154 E Houston,French
Ivanoff Bosco ,5 Morris,French
Jonquin Restaurant ,12 Reade,French
Joubert Joseph H ,135 W45th,French
Katis Peter ,36 Washn,French
La Mode Lunch ,"2129, 3d av",French
Lapoila Pasquale ,33 Cherry,French
Le Grand Lunch ,45 E8th,French
Macon Hotel & Restaurant Co ,1600 Bway,French
Magezus Emanuel ,47 Orchard,French
Maison Arthur ,5 E45th,French
Marcois Charles ,46 W34th,French
Margoolez Jacques ,185 Gwich,French
Margulies Isaac ,53 E Bway,French
Maxim's Hotel & Restaurant ,108 W 38th,French
Messitte Sadie ,47 E8th,French
Michaud Catering Co Inc ,1465 Bway,French
Millo Michele ,174 Mulberry,French
Milone Nicola ,170 Bleecker,French
Mouquin Restaurant & Wine Co (Ltd) ,"149 Fulton, 20 Ann &. 454, 6th av",French
Mouquin Restaurant & Wine Co (Ltd) ,"149 Fulton, 20 Ann &. 454, 6th av",French
Mouquin Restaurant & Wine Co (Ltd) ,"149 Fulton, 20 Ann &. 454, 6th av",French
Nassau Cafetiere ,75 Nassau,French
Nassau Lunch ,441 Bway,French
Nassau Lunch Room ,49 Nassau,French
Normandie Lunch Room ,32 Union sq E,French
Norris M B ,40 Maiden la,French
Nuis Harry ,"1555, 2d av",French
Pacheteau Jacques ,"276, 7th av",French
Parisi Louis ,51 Park,French
Parisian Restaurant Co ,"810, 6th av",French
Parisian Rotisseri Co ,2824 Bway,French
Parisien Hotel & Restaurant Co ,"939, 8th av",French
Parthenon Dining Room ,400 Mhtn av,French
Pepe Pasquale ,314 E12th,French
Pera Pasquale ,118 E27th,French
Prisco Pasquale ,110 1/2 Mulberry,French
Rabelie's Restaurant & Cafe ,"92, 2d av",French
Raedei’s Restaurant ,258 West,French
Rivoire Claude ,159 W44th,French
Rossano Pasquale ,320 E11th,French
Roux Henry ,110 W47th,French
Savoy Lunch ,279 Canal,French
Savoy Lunch Co ,326 W59th,French
Sharlot Libe ,15 W Houston,French
Stinfest & Butler ,16 E110th,French
Tammaro Pasquale ,170 Mulberry,French
Tonlose B ,94 Macdougal,French
Toorans Abraham ,251 Columbus av,French
Treff Abraham ,"129, 3d av",French
Troy Lunch & Restaurant ,1995 Amsterdam av,French
Veux August ,28 Walker,French
Wild Gustave ,12 Beach,French
