Name,Address,NATIONALITY final
Bergin Michael J ,35 Cooper sq E,Irish
Bidighan Richard ,"2519, 8th av",Irish
Burke James ,"359, 7th av",Irish
Burke Joseph L ,62 John,Irish
Burke Patrick ,586. 7th av,Irish
Burke Thomas J ,715. 7th av,Irish
Burke & Thomas,451 Lenox av,Irish
Devin Edward ,2784 Webster av,Irish
Dewar Frank R ,26 Union sq E,Irish
Doherty Michael J ,347 W Houston,Irish
Dolan Mary ,1910 Park av,Irish
Dolan’s P Nephew ,120 Nassau,Irish
Donahue Patrick ,"1100, 3d av",Irish
Donahue’s Inc ,"415 & 484, 8th av",Irish
Donahue’s Inc ,"415 & 484, 8th av",Irish
Dowd John J (firm of) ,"321, 437 & 645 Bway",Irish
Dowd John J (firm of) ,"321, 437 & 645 Bway",Irish
Dowd John J (firm of) ,"321, 437 & 645 Bway",Irish
Doyle Thomas E ,272 W135th,Irish
Dunn Philip ,86 South,Irish
Finney John ,266 W53d,Irish
Flaherty Daniel ,"1301, 3d av",Irish
Gaughan John A ,140 Gwich,Irish
Gingold Paul ,14 Forsyth,Irish
Glick David ,33 Crosby,Irish
Glogan Joseph ,356 Canal,Irish
Gluck Samuel ,447 Willis av,Irish
Gluckow Joseph ,295 Broome,Irish
Graef Isidor ,83 Sheriff,Irish
Hagan Mary ,809 9th av,Irish
Halieran George F ,"428, 7th av",Irish
Hancke & MacMahon ,337 8th av,Irish
Hanharan Mary ,297 Av C,Irish
Healy Patrick J ,2463 Bway,Irish
Healy Thomas J ,147 Columbus av,Irish
Hynes Michael J ,223 Gwich,Irish
Kennedy James ,59 Mhtn,Irish
Kern Benjamin ,119 Suffolk,Irish
King Ida ,420 Columbus av,Irish
Maloney James ,624. 8th av,Irish
Maloney Brothers ,569 & 791. 7th av,Irish
Maloney Brothers ,569 & 791. 7th av,Irish
McGinn Frank ,"1027, 6th av",Irish
McGowan Jean Stuart ,180 Madison av,Irish
McMahon Eugene ,188 Mhtn,Irish
McNamara James J ,253 W145th,Irish
Monahan Terrence E ,"180, 8th av",Irish
Murphy James ,"814, 3d av",Irish
O'Brien Grace ,998 Amsterdam av,Irish
O'Conner Luke ,6 Christopher,Irish
O’Connor & Wulfers ,9 W32d,Irish
O’Flaherty John ,"804, 10th av",Irish
O’Neill Andrew F ,"385, 3d av",Irish
O'Neill Daniel J ,"519, 3d av",Irish
O’Neill & Bristol Restaurant Co ,"360, 6th av",Irish
O’Reilly A ,365 W56th,Irish
O’Reilly Mark T Co ,"608, 6th av",Irish
O'Rourke John P ,"1154, 1st av",Irish
Power James M ,"2297, 7th av",Irish
Quinn H ,545 Lenox av,Irish
Quinn & O’Hara ,1413 St Nicholas av,Irish
Regan Julia ,"406, 8th av",Irish
Ryan John F ,223 Varick,Irish
Scanlon Daniel ,"1864 Bway, 33 Columbus av & 622 W57th",Irish
Scanlon Daniel ,"1864 Bway, 33 Columbus av & 622 W57th",Irish
Scanlon Daniel ,"1864 Bway, 33 Columbus av & 622 W57th",Irish
Shanley Brothers Co ,117 W42d,Irish
Shanley Co ,"1212 & 1493 Bway & 383, 6th av",Irish
Shanley Co ,"1212 & 1493 Bway & 383, 6th av",Irish
Shanley Co ,"1212 & 1493 Bway & 383, 6th av",Irish
Tivnan Peter Lunch Co ,72 E42d & 6 Columbus av,Irish
Tierney John ,152 W45th,Irish
Tivnan Peter Lunch Co ,72 E42d & 6 Columbus av,Irish
