Name,Address,NATIONALITY final
Czerniawski W & W Lichodziejewski ,545 E12th,Polish
Kahansky Co ,104 W30th,Polish
Mathin & Spiwack ,22 W17th,Polish
Minks Inc ,"426 &. 622, 6th av",Polish
Minks Inc ,"426 &. 622, 6th av",Polish
Romanofsky & Senter ,43 Broome & 96 Av A,Polish
Romanofsky & Senter ,43 Broome & 96 Av A,Polish
Rudofsky & Samtor ,134 Rivington,Polish
Rumanowsky & Senter ,96 Av A,Polish
Rusowics & Ciduk ,"129, 7th",Polish
Skalaban & Molociso ,97 Henry,Polish
Somer & Kalowetsky ,"101, 3d av",Polish
Zsuzsi & Patika ,"310, 6th",Polish
Borak Benjamin ,139 W22d,Polish
Borawikow Pie ,155 Chrystie,Polish
Charnofsky Abraham ,113 Av D,Polish
Cherkasky Morris ,"123, 4th av",Polish
Czarnomske John ,407 W42d,Polish
Dameszek Michael ,276 E Houston,Polish
Dansky Joseph ,34 Goerck,Polish
Darvas Max ,46 E10th,Polish
Ducorsky Jacob ,"156 E Bway & 381, 6th av",Polish
Ducorsky Jacob ,"156 E Bway & 381, 6th av",Polish
Grusz Anton ,318 E70th,Polish
Grygorkiewicz Adam ,286 E10th,Polish
Kahansky Jacob ,112 Wl7th,Polish
Kaminsky Alexander ,"925, 8th av",Polish
Kaminsky Brothers ,"174, 6th av",Polish
Karansky Joseph ,145 E4th,Polish
Karzmarsky Benjamin ,61 E Bway,Polish
Kaslovsky Wolf ,168 Lewis,Polish
Kazansky Samuel ,13 Eldridge,Polish
Klanitzky Gottfried ,1809 Park av,Polish
Kletsky Isaac ,204 Wooster,Polish
Kokoszko Georgs ,327 E14th,Polish
Krinsky Alexander ,161 Reade,Polish
Kubik Mary ,1811 3d av,Polish
Lachowicz Marion ,"421, 6th",Polish
Lebovicz Adolph ,121 2d av,Polish
Mankowsky Philip ,102 University pl,Polish
Mihevicz Leon ,201 Forsyth,Polish
Mirsky Morris ,150 Columbus av,Polish
Mucha Edward ,383 Gwich,Polish
Muzersky Louis ,283 Madison,Polish
Ordinsky William ,14 Suffolk,Polish
Pavlicsk William ,425 E73d,Polish
Pogoda Morris ,1 Worth,Polish
Polansky Abraham ,"326, 3d av",Polish
Polansky Benjamin ,2844 Bway,Polish
Popiel Jacob ,645 6th,Polish
Prigodsky Abraham K ,292 Cherry,Polish
Radesky John ,"724, 11th av",Polish
Rimoshewsky Abraham ,96 Orchard,Polish
Rishkovsky Stephen ,213 Madison,Polish
Romanck Carl ,339 E23d,Polish
Rosalimsky Solomon ,59 Eldridge,Polish
Roselimsky & Brother ,1 Rutgers pl,Polish
Salinsky Samuel ,"20, 11th av",Polish
Saloshinsky Abraham ,79 E4th,Polish
Sametzkl Samuel ,313 E133d,Polish
Schmaltz Jacob & B Pekarsky ,163 Eldridge,Polish
Schultzsky Louis ,404 3d,Polish
Selinsky Abraham ,7 Walker,Polish
Selinsky Jacob ,82 Rutgers,Polish
Sielalycky William ,539 E13th,Polish
Slonimsky Harris ,158 Ludlow,Polish
Slonimsky Joseph ,"1925, 2d av",Polish
Sturolski Edward ,205 W10th,Polish
Sudzin Harry ,261 Broome,Polish
Szabo & Josef ,"1270, 1st av",Polish
Szalay Frank ,"423, 5th",Polish
Szatmary Oscar ,"190, 2d av",Polish
Ticktinasky Samuel ,81 E4th,Polish
Trembowicki Joseph ,"407 , 5th",Polish
Trozinsky Samuel ,369 Cherry,Polish
Watinsky Harris ,221 Greene,Polish
Winograd Charles ,82 Orchard,Polish
Yaczko Joseph ,530. 6th,Polish
Fogelhut Morris ,61 W Houston,Polish
Czeiada Catharine ,"129, 3d",Polish
Endursky Ida ,25 Rutgers,Polish
Kaezmarczepk Mary ,347 E23d,Polish
Krakowsky Helen ,1704 Madison av,Polish
Noffka Catharine ,223 Gwich,Polish
Noltes Matilda ,32 St Mark's pl,Polish
